repo,eco_id,project_id_num,project_type
deepseek-ai/DeepSeek-LLM,1,1,1
deepseek-ai/deepseek-math,1,2,1
deepseek-ai/deepseek-coder,1,3,1
deepseek-ai/DeepSeek-VL,1,4,1
deepseek-ai/DeepSeek-V2,1,5,1
deepseek-ai/DeepSeek-R1,1,6,1
deepseek-ai/awesome-deepseek-integration,1,7,2
AnotiaWang/deep-research-web-ui,1,8,2
xtekky/gpt4free,1,9,3
unslothai/unsloth,1,10,3
infiniflow/ragflow,1,11,3
run-llama/llama_index,1,12,3
ollama/ollama,1,13,3
vllm-project/vllm,1,14,3
oobabooga/text-generation-webui,1,15,3
hiyouga/LLaMA-Factory,1,16,3
huggingface/transformers,1,17,3
Mintplex-Labs/anything-llm,1,18,4
jeecgboot/JeecgBoot,1,19,4
labring/FastGPT,1,20,4
AnotiaWang/deep-research-web-ui,1,21,4
tw93/Pake,1,22,4
zhayujie/chatgpt-on-wechat,1,23,4
siyuan-note/siyuan,1,24,4
yamadashy/repomix,1,25,4
meta-llama/llama-models,2,26,1
meta-llama/llama,2,27,1
meta-llama/llama3,2,28,1
ggml-org/llama.cpp,2,29,1
tloen/alpaca-lora,2,30,1
meta-llama/codellama,2,31,1
langchain-ai/langchain,2,32,1
meta-llama/llama-cookbook,2,33,1
ymcui/Chinese-LLaMA-Alpaca,2,34,2
openlm-research/open_llama,2,35,2
artidoro/qlora,2,36,2
karpathy/llama2.c,2,37,2
run-llama/llama_index,2,38,3
axolotl-ai-cloud/axolotl,2,39,3
ollama/ollama,2,40,3
lm-sys/FastChat,2,41,3
hiyouga/LLaMA-Factory,2,42,3
unslothai/unsloth,2,43,3
oobabooga/text-generation-webui,2,44,3
huggingface/transformers,2,45,3
vllm-project/vllm,2,46,3
zylon-ai/private-gpt,2,47,3
Lightning-AI/litgpt,2,48,3
lobehub/lobe-chat,2,49,4
chatboxai/chatbox,2,50,4
